total_sqft,bath,balcony,size,location,price,Actual Price,Predicted Price,Error,Squared Error
1056.0,2.0,1.0,2,Electronic City Phase II,39.07,39.07,37.385399724952656,1.6846002750473446,2.8378780866895887
1200.0,2.0,1.0,2,Kothanur,51.0,51.0,59.72350662595609,-8.723506625956091,76.09956785309983
1100.0,2.0,2.0,2,Gottigere,40.0,40.0,46.91182286854459,-6.91182286854459,47.77329536613596
1175.0,2.0,2.0,2,Mysore Road,73.5,73.5,57.01503590732065,16.48496409267935,271.75404113692747
600.0,1.0,1.0,1,Kengeri,15.0,15.0,11.408198741499401,3.591801258500599,12.901036280566487
660.0,1.0,1.0,2,Electronic City,23.1,23.1,21.252120809591062,1.847879190408939,3.414657502346396
2475.0,4.0,0.0,4,Yelahanka,186.0,186.0,136.26136607556955,49.738633924430445,2473.9317046685032
1724.0,3.0,2.0,3,Kundalahalli,125.0,125.0,113.5949838174061,11.405016182593897,130.07439412522868
1143.0,2.0,2.0,2,Uttarahalli,45.0,45.0,46.25454408092946,-1.2545440809294632,1.5738808509951516
600.0,1.0,0.0,1,Ganga Nagar,38.0,38.0,20.145955323242653,17.854044676757347,318.76691131964736
1330.74,2.0,2.0,2,Kanakpura Road,91.79,91.79,58.78864610660747,33.00135389339253,1089.0893587969344
970.0,2.0,0.0,2,Doddathoguru,33.0,33.0,37.32458997800734,-4.324589978007339,18.702078477881514
869.0,2.0,1.0,2,Himagiri Meadows,36.0,36.0,122.55341875093438,-86.55341875093438,7491.4942974746
1670.0,3.0,1.0,3,Bhoganhalli,99.0,99.0,100.83183816479347,-1.8318381647934672,3.355631061993898
1407.0,4.0,1.0,6,Murugeshpalya,150.0,150.0,120.72321058883978,29.276789411160223,857.1303982254234
1160.0,2.0,2.0,2,Varthur,44.0,44.0,53.44832028994655,-9.448320289946551,89.27075630141567
1358.0,2.0,1.0,2,Begur Road,80.58,80.58,48.59956603659103,31.98043396340897,1022.748156487962
